yyyymm,state,n_stocks
201606,Loose (NFCI le 0),5684
201607,Loose (NFCI le 0),5684
201608,Loose (NFCI le 0),5656
201609,Loose (NFCI le 0),5666
201610,Loose (NFCI le 0),5669
201611,Loose (NFCI le 0),5684
201612,Loose (NFCI le 0),5687
201701,Loose (NFCI le 0),5685
201702,Loose (NFCI le 0),5666
201703,Loose (NFCI le 0),5666
201704,Loose (NFCI le 0),5675
201705,Loose (NFCI le 0),5671
201706,Loose (NFCI le 0),5687
201707,Loose (NFCI le 0),5708
201708,Loose (NFCI le 0),5687
201709,Loose (NFCI le 0),5675
201710,Loose (NFCI le 0),5684
201711,Loose (NFCI le 0),5701
201712,Loose (NFCI le 0),5704
201801,Loose (NFCI le 0),5711
201802,Loose (NFCI le 0),5717
201803,Loose (NFCI le 0),5705
201804,Loose (NFCI le 0),5708
201805,Loose (NFCI le 0),5713
201806,Loose (NFCI le 0),5738
201807,Loose (NFCI le 0),5749
201808,Loose (NFCI le 0),5755
201809,Loose (NFCI le 0),5761
201810,Loose (NFCI le 0),5771
201811,Loose (NFCI le 0),5755
201812,Loose (NFCI le 0),5741
201901,Loose (NFCI le 0),5724
201902,Loose (NFCI le 0),5715
201903,Loose (NFCI le 0),5708
201904,Loose (NFCI le 0),5728
201905,Loose (NFCI le 0),5753
201906,Loose (NFCI le 0),5757
201907,Loose (NFCI le 0),5777
201908,Loose (NFCI le 0),5757
201909,Loose (NFCI le 0),5761
201910,Loose (NFCI le 0),5762
201911,Loose (NFCI le 0),5775
201912,Loose (NFCI le 0),5776
202001,Loose (NFCI le 0),5777
202002,Loose (NFCI le 0),5786
202005,Loose (NFCI le 0),5747
202006,Loose (NFCI le 0),5768
202007,Loose (NFCI le 0),5792
202008,Loose (NFCI le 0),5819
202009,Loose (NFCI le 0),5856
202010,Loose (NFCI le 0),5921
202011,Loose (NFCI le 0),5975
202012,Loose (NFCI le 0),6037
202101,Loose (NFCI le 0),6103
202102,Loose (NFCI le 0),6160
202103,Loose (NFCI le 0),6295
202104,Loose (NFCI le 0),6440
202105,Loose (NFCI le 0),6515
202106,Loose (NFCI le 0),6593
202107,Loose (NFCI le 0),6681
202108,Loose (NFCI le 0),6731
202109,Loose (NFCI le 0),6772
202110,Loose (NFCI le 0),6841
202111,Loose (NFCI le 0),6909
202112,Loose (NFCI le 0),6995
202201,Loose (NFCI le 0),7053
202202,Loose (NFCI le 0),7076
202203,Loose (NFCI le 0),7093
202204,Loose (NFCI le 0),7113
202205,Loose (NFCI le 0),7116
202206,Loose (NFCI le 0),7116
202207,Loose (NFCI le 0),7104
202208,Loose (NFCI le 0),7115
202209,Loose (NFCI le 0),7100
202210,Loose (NFCI le 0),7092
202211,Loose (NFCI le 0),7004
202212,Loose (NFCI le 0),6974
202301,Loose (NFCI le 0),6944
202302,Loose (NFCI le 0),6869
202303,Loose (NFCI le 0),6866
202304,Loose (NFCI le 0),6847
202305,Loose (NFCI le 0),6806
202306,Loose (NFCI le 0),6782
202307,Loose (NFCI le 0),6758
202308,Loose (NFCI le 0),6748
202309,Loose (NFCI le 0),6724
202310,Loose (NFCI le 0),6703
202311,Loose (NFCI le 0),6653
202312,Loose (NFCI le 0),6670
202401,Loose (NFCI le 0),6657
202402,Loose (NFCI le 0),6631
202403,Loose (NFCI le 0),6620
202404,Loose (NFCI le 0),6612
202405,Loose (NFCI le 0),6607
202406,Loose (NFCI le 0),6590
202407,Loose (NFCI le 0),6581
202408,Loose (NFCI le 0),6575
202409,Loose (NFCI le 0),6602
202410,Loose (NFCI le 0),6621
202411,Loose (NFCI le 0),6606
