feature,mean_std,mean_wt,mean_diff,t_stat,p_value,significant,category,model
BMdec,7.308921320858171e-05,6.106750681397896e-05,-1.2021706394602748e-05,-3.1157364087835173,0.00201362960212859,True,tradable,random_forest
Accruals,1.9945385371378302e-05,1.7248047997866378e-05,-2.697337373511924e-06,-2.396396866886338,0.017173412246642553,True,tradable,random_forest
PctAcc,2.751694551254338e-05,2.4016186998043893e-05,-3.5007585144994835e-06,-2.31387392878959,0.021354806835192943,True,other,random_forest
MomOffSeason,0.00016886994893912995,0.00017981989566677751,1.0949946727647603e-05,2.1828888530503656,0.02982424529182094,True,tradable,random_forest
BookLeverage,4.455747027104849e-05,4.0319247869382515e-05,-4.238222401665981e-06,-2.152038120286155,0.03219741655730946,True,tradable,random_forest
ShareIss1Y,9.364723545722844e-05,8.740955732692432e-05,-6.237678130304141e-06,-1.997227519742986,0.04670952545206979,True,tradable,random_forest
Mom6m,0.00011507897693590538,0.00012300941942272682,7.930442486821459e-06,1.9319960239380674,0.05430778306977393,False,tradable,random_forest
IntMom,9.984251274465703e-05,9.272128927834978e-05,-7.121223466307274e-06,-1.8268766332038024,0.06871849464890036,False,tradable,random_forest
EBM,0.00011544653547110858,0.00010839921830205597,-7.047317169052599e-06,-1.7489853115278993,0.08132311193651036,False,tradable,random_forest
DelCOA,2.6642827326862102e-05,2.3839014031601452e-05,-2.803813295260648e-06,-1.7219881155505614,0.08610931635119187,False,other,random_forest
ChNNCOA,9.355678715007574e-06,1.0371823458823462e-05,1.0161447438158847e-06,1.7192124502211061,0.08661410763024407,False,other,random_forest
DelNetFin,1.0896672392248298e-05,9.631405100468468e-06,-1.2652672917798323e-06,-1.7147344029749074,0.0874335597196736,False,other,random_forest
MomSeason,7.628213299898707e-05,8.101632627724944e-05,4.734193278262364e-06,1.4937494631005404,0.13629915870581508,False,tradable,random_forest
DelFINL,7.300543188338036e-05,6.792492617988238e-05,-5.08050570349799e-06,-1.4192760971567553,0.15686367208590066,False,other,random_forest
CoskewACX,1.7670096437658483e-05,1.636821454696398e-05,-1.301881890694502e-06,-1.4164157018522792,0.1576982742722929,False,other,random_forest
