feature,d_bar,std_err,t_stat,p_value,n_obs,abs_d_bar
NetDebtFinance,-0.024442860680463432,0.002337987605392391,-10.454657939198578,1.3950123878023394e-25,635,0.024442860680463432
DelFINL,-0.023908308180292902,0.002692732224635519,-8.878828708461372,6.756806384977852e-19,635,0.023908308180292902
MomSeason06YrPlus,0.02370528098497784,0.0023896740711793147,9.919880401631165,3.4116472450344683e-23,635,0.02370528098497784
PctTotAcc,-0.02341931440709296,0.0025816669553724953,-9.071392558345664,1.1750548400040624e-19,635,0.02341931440709296
Cash,0.02295015414172279,0.0029385937548540367,7.80991047293053,5.722862186628717e-15,635,0.02295015414172279
tang,-0.022671761101258216,0.0035455132575137765,-6.394493393364535,1.61080513424794e-10,635,0.022671761101258216
InvGrowth,-0.01972769489383365,0.0023008979091968646,-8.573911434740562,1.0002836201523034e-17,635,0.01972769489383365
ShareIss5Y,0.01899565499041998,0.005775006492683683,3.289287209371184,0.001004414729381687,635,0.01899565499041998
ReturnSkew,0.018244393361687268,0.00216716725572682,8.418544214100587,3.811913087803852e-17,635,0.018244393361687268
AnalystRevision,0.018168063895584275,0.0021720689792446893,8.364404661725798,6.041921965273631e-17,635,0.018168063895584275
MomSeason11YrPlus,0.016404269011427233,0.0018902979928974218,8.67813914687758,4.0229666704483556e-18,635,0.016404269011427233
ReturnSkew3F,0.016072598111745315,0.002119345748683566,7.583754619428579,3.35695778691111e-14,635,0.016072598111745315
AnnouncementReturn,0.015835091572172062,0.0014965659828830257,10.580951159712257,3.652314822668593e-26,635,0.015835091572172062
EarningsStreak,0.014079325528014875,0.0026126932499093373,5.388816895555358,7.092301811672445e-08,635,0.014079325528014875
REV6,0.013772571566780448,0.0023209231987738584,5.934091905348908,2.9547629191438536e-09,635,0.013772571566780448
MomSeason16YrPlus,0.012862273719649906,0.0015543550631336143,8.274990717834621,1.2846562661792142e-16,635,0.012862273719649906
DelNetFin,0.012680650180287889,0.0032089962662879335,3.951593934061029,7.763238843580401e-05,635,0.012680650180287889
CF,0.012587598673237284,0.00710587597006485,1.771435179317154,0.07648836290015402,635,0.012587598673237284
ExclExp,-0.011874385678451727,0.001864492808347517,-6.368694813564813,1.9064351528186794e-10,635,0.011874385678451727
IndMom,0.011268212991086473,0.004916465628700086,2.2919336454439505,0.0219094724132825,635,0.011268212991086473
PctAcc,0.011092154300309567,0.002412899843594735,4.597022263379358,4.28571840613935e-06,635,0.011092154300309567
ChNWC,0.010987737861738879,0.0019149047532145314,5.738007513582007,9.579686713021262e-09,635,0.010987737861738879
RevenueSurprise,0.010958900918403423,0.0030483574778810067,3.5950183001572515,0.0003243687753243024,635,0.010958900918403423
BookLeverage,-0.010560490054470097,0.0038560320671657713,-2.738693524982063,0.006168384494358785,635,0.010560490054470097
EarningsSurprise,0.010382066311452234,0.002569221462908892,4.040938650612696,5.323768546913747e-05,635,0.010382066311452234
EarningsConsistency,0.010379170469317248,0.0022125311315183034,4.691084487563688,2.717607132756047e-06,635,0.010379170469317248
BetaLiquidityPS,-0.009692879392815748,0.00254725324359688,-3.8052280106742744,0.00014167362063788292,635,0.009692879392815748
ShareIss1Y,0.009617343980847168,0.007679208408606712,1.2523874166597992,0.21042872924764655,635,0.009617343980847168
NetDebtPrice,-0.00956646217082759,0.0011351172704964102,-8.427730261423983,3.524343053090645e-17,635,0.00956646217082759
Mom6mJunk,0.009496863255425217,0.0010195994140616573,9.31430827092543,1.2274975967419352e-20,635,0.009496863255425217
GrAdExp,-0.009350892726048785,0.001380807222150615,-6.772047955749187,1.2697203402693759e-11,635,0.009350892726048785
CPVolSpread,0.009071314016856593,0.002013302625415674,4.505688266801766,6.615815204607172e-06,635,0.009071314016856593
ResidualMomentum,0.008708214412482422,0.0036382893583240907,2.3934914337032547,0.01668887103305348,635,0.008708214412482422
BPEBM,-0.007622447185709669,0.002609619338133586,-2.9209038553344278,0.003490175170459327,635,0.007622447185709669
NOA,-0.0075009412015940745,0.0024247026023274925,-3.093551017099523,0.0019777654526809884,635,0.0075009412015940745
betaVIX,0.0065550834217429545,0.001978662348760546,3.312886317288609,0.0009233850439928763,635,0.0065550834217429545
EarningsForecastDisparity,0.0055112210412037715,0.0019438177752120471,2.8352560160134166,0.004578897533855056,635,0.0055112210412037715
FirmAgeMom,0.005018241433054139,0.0006323718532947441,7.935586327741206,2.0950320762391116e-15,635,0.005018241433054139
TrendFactor,0.004987335112558862,0.0035353165474202525,1.4107181197672833,0.15832774598499966,635,0.004987335112558862
fgr5yrLag,0.004809916469145778,0.0037278359748281016,1.2902704146921522,0.19695678527828542,635,0.004809916469145778
std_turn,-0.004763718807402844,0.00025491067151878726,-18.687796705489248,6.223043664066807e-78,635,0.004763718807402844
