yyyymm,R2,N_stocks,N_features
200612,0.9347631499366272,6761,143
200701,0.9455839784409115,6778,143
200702,0.9380507263710801,6820,143
200703,0.9367726803935562,6828,143
200704,0.9370300567904891,6835,143
200705,0.941553968324508,6853,143
200706,0.9391236189146354,6865,143
200707,0.9452604163413421,6857,143
200708,0.9478070279443995,6863,143
200709,0.9438991386514494,6782,143
200710,0.9441821954976798,6790,143
200711,0.9481592777477187,6697,143
200712,0.94364029361156,6716,143
200801,0.9537084508543677,6690,143
200802,0.9512081716280714,6670,143
200803,0.9497000889257645,6658,143
200804,0.9468236627906735,6634,143
200805,0.9474708753849831,6635,143
200806,0.9474356377318759,6620,143
200807,0.9513552637663434,6614,143
200808,0.9531629735165106,6551,143
200809,0.9626480472084539,6461,143
200810,0.9635890012784881,6106,143
200811,0.9611625007264157,6062,143
200812,0.9594028913382252,6021,143
200901,0.958985725875684,5986,143
200902,0.9619962513489483,5949,143
200903,0.961517354038985,5905,143
200904,0.9563973881307196,5878,143
200905,0.9574669680253455,5835,143
200906,0.9393724170312541,5819,143
200907,0.9558525474627779,5798,143
200908,0.9480511687139352,5782,143
200909,0.9498559677607845,5762,143
200910,0.9501602753878748,5751,143
200911,0.9524093086657441,5745,143
200912,0.9484967916006927,5736,143
201001,0.9411442686901704,5723,143
201002,0.9577161289574724,5708,143
201003,0.9488978431027046,5704,143
201004,0.9515224859074194,5714,143
201005,0.9601898930217817,5702,143
201006,0.9455316977831519,5690,143
201007,0.959382466987566,5692,143
201008,0.9547521667113179,5688,143
201009,0.953818313738993,5679,143
201010,0.9511658259266298,5673,143
201011,0.9489147342396146,5662,143
201012,0.9478552538422113,5673,143
201101,0.9494008838740773,5676,143
201102,0.9521844663705628,5666,143
201103,0.9499250458160564,5638,143
201104,0.951628772635015,5639,143
201105,0.9530281127432276,5627,143
201106,0.9453831978081522,5615,143
201107,0.9535647446734605,5627,143
201108,0.9598416453780234,5623,143
201109,0.9614709783804682,5608,143
201110,0.9624955940631762,5586,143
201111,0.951927240087077,5583,143
201112,0.9533426173946222,5570,143
201201,0.9540716196097475,5561,143
201202,0.9482628912650731,5575,143
201203,0.9488059630972863,5577,143
201204,0.9462363563955136,5574,143
201205,0.9460950439147263,5574,143
201206,0.9363148221622055,5545,143
201207,0.9485040006791312,5526,143
201208,0.9428197135773204,5521,143
201209,0.947784564038789,5483,143
201210,0.9502592803820917,5500,143
201211,0.946979808926966,5479,143
201212,0.9471412177934577,5479,143
201301,0.9390695004644044,5467,143
201302,0.9396078719516299,5466,143
201303,0.9481246471639557,5448,143
201304,0.9508338228187081,5447,143
201305,0.9406933116000744,5469,143
201306,0.9292002858405791,5473,143
201307,0.937920175652687,5492,143
201308,0.9284441224692336,5503,143
201309,0.9395939461830296,5516,143
201310,0.9336918925910296,5521,143
201311,0.927923378250755,5542,143
201312,0.9343835022682403,5553,143
201401,0.933807213266234,5555,143
201402,0.9471160028082916,5570,143
201403,0.9397467366812234,5598,143
201404,0.942464790964535,5619,143
201405,0.9387404523612296,5634,143
201406,0.9335662733146515,5655,143
