feature,delta_bar,std_err,t_stat,p_value,n_months,abs_delta_bar
AbnormalAccruals,0.003878218762999992,0.004714057746518254,0.8226922476425744,0.4106830249680776,431,0.003878218762999992
Tax,-0.003664021732677092,0.004650329896645367,-0.7879057645609673,0.4307518290517104,431,0.003664021732677092
ChNNCOA,-0.0034094635115081303,0.00518498756785018,-0.6575644525454041,0.5108180427073519,431,0.0034094635115081303
CoskewACX,0.0032711607606007572,0.006163140502829663,0.5307619969233023,0.5955837180354928,431,0.0032711607606007572
MomOffSeason06YrPlus,-0.002779349945104658,0.007973405270338622,-0.3485775337977549,0.727406496497928,321,0.002779349945104658
ChInvIA,-0.0022759914863895955,0.004563357666602622,-0.49875369249416085,0.6179529140285104,422,0.0022759914863895955
Leverage,-0.0014356824320269118,0.02402807139119882,-0.059750215015291826,0.9523545773467421,431,0.0014356824320269118
PctTotAcc,0.0008766123435286007,0.006125640027292721,0.14310542892218023,0.8862069174156063,426,0.0008766123435286007
DelNetFin,-0.000629285078723546,0.00555678239631538,-0.11324630583713617,0.9098352850174503,431,0.000629285078723546
MomSeasonShort,-9.625678217461096e-05,0.005251613414744685,-0.018328992363443153,0.9853763987873035,431,9.625678217461096e-05
REV6,3.654853259735014e-05,0.007438070218225214,0.004913711692018811,0.9960794410814047,233,3.654853259735014e-05
